last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,04#227,04,미주,4,미국,334,7,04#227,51,201808,2018,8,부정기-유임여객-도착
,,,,,,,,04#206,04,미주,4,캐나다,0,0,,,201808,2018,8,부정기-유임여객-도착
,,,,,,,,05#317,05,유럽,5,노르웨이,3081,50,05#317,13,201808,2018,8,부정기-유임여객-도착
,,,,,,,,05#308,05,유럽,5,독일,0,0,05#308,1,201808,2018,8,부정기-유임여객-도착
,,,,,,,,05#331,05,유럽,5,러시아,7204,76,05#331,62,201808,2018,8,부정기-유임여객-도착
,,,,,,,,05#322,05,유럽,5,스위스,384,7,05#322,2,201808,2018,8,부정기-유임여객-도착
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,431,10,05#338,2,201808,2018,8,부정기-유임여객-도착
,,,,,,,,05#312,05,유럽,5,이탈리아,0,0,05#312,11,201808,2018,8,부정기-유임여객-도착
,,,,,,,,05#326,05,유럽,5,체코,343,6,05#326,1,201808,2018,8,부정기-유임여객-도착
,,,,,,,,06#227_01,06,대양주,6,괌,2301,31,06#227_01,21,201808,2018,8,부정기-유임여객-도착
,,,,,,,,06#227_00,06,대양주,6,사이판,3671,47,06#227_00,29,201808,2018,8,부정기-유임여객-도착
,,,,,,,,07#144,07,기타,7,아랍에미레이트,0,0,07#144,1,201808,2018,8,부정기-유임여객-도착
,,,,,,,,07#101,07,기타,7,아프가니스탄,0,0,07#101,1,201808,2018,8,부정기-유임여객-도착
,,,,,,,,07#114,07,기타,7,이스라엘,0,0,,,201808,2018,8,부정기-유임여객-도착
,,,,,,,,,,전체 합계,0,,80137,859,총계,681,201809,2018,9,부정기-유임여객-도착
,,,,,,,,01#115,01,일본,1,일본,17802,158,01#115,133,201809,2018,9,부정기-유임여객-도착
,,,,,,,,02#141,02,중국,2,중국,12249,118,02#141,87,201809,2018,9,부정기-유임여객-도착
,,,,,,,,03#107,03,아시아,3,대만,5178,49,03#107,35,201809,2018,9,부정기-유임여객-도착
,,,,,,,,03#120,03,아시아,3,라오스,1274,12,03#120,10,201809,2018,9,부정기-유임여객-도착
