last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,05#316,05,유럽,5,네덜란드,723,171,05#316,43,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#317,05,유럽,5,노르웨이,0,0,05#317,13,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#308,05,유럽,5,독일,1908,616,05#308,203,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#331,05,유럽,5,러시아,8810,552,05#331,312,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#313,05,유럽,5,룩셈부르크,0,0,05#313,15,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#303,05,유럽,5,벨기에,0,0,05#303,10,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#321,05,유럽,5,스웨덴,0,0,05#321,8,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#322,05,유럽,5,스위스,52,21,05#322,18,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#320,05,유럽,5,스페인,576,105,05#320,42,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#342,05,유럽,5,아제르바이잔,0,0,05#342,18,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#305,05,유럽,5,영국,2632,396,05#305,91,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#302,05,유럽,5,오스트리아,206,49,05#302,5,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,945,252,05#338,40,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#312,05,유럽,5,이탈리아,1951,280,05#312,86,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#326,05,유럽,5,체코,435,111,05#326,30,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#149,05,유럽,5,카자흐스탄,886,88,05#149,30,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#136,05,유럽,5,튀르키예,1270,323,05#136,87,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#329,05,유럽,5,폴란드,27,80,05#329,23,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#307,05,유럽,5,프랑스,2523,378,05#307,92,201803,2018,3,정기-환승여객-출발
,,,,,,,,05#306,05,유럽,5,핀란드,10,156,05#306,31,201803,2018,3,정기-환승여객-출발
,,,,,,,,06#227_01,06,대양주,6,괌,1487,544,06#227_01,326,201803,2018,3,정기-환승여객-출발
,,,,,,,,06#407,06,대양주,6,뉴질랜드,906,106,06#407,29,201803,2018,3,정기-환승여객-출발
,,,,,,,,06#227_00,06,대양주,6,사이판,3272,302,06#227_00,170,201803,2018,3,정기-환승여객-출발
,,,,,,,,06#415,06,대양주,6,팔라우,775,32,06#415,19,201803,2018,3,정기-환승여객-출발
,,,,,,,,06#403,06,대양주,6,피지,1378,42,06#403,13,201803,2018,3,정기-환승여객-출발
,,,,,,,,06#227_02,06,대양주,6,하와이,5449,393,06#227_02,119,201803,2018,3,정기-환승여객-출발
,,,,,,,,06#401,06,대양주,6,호주,2415,354,06#401,84,201803,2018,3,정기-환승여객-출발
,,,,,,,,07#144,07,기타,7,아랍에미레이트,913,485,07#144,98,201803,2018,3,정기-환승여객-출발
,,,,,,,,07#508,07,기타,7,에티오피아,65,41,07#508,18,201803,2018,3,정기-환승여객-출발
,,,,,,,,07#114,07,기타,7,이스라엘,943,42,07#114,14,201803,2018,3,정기-환승여객-출발
,,,,,,,,07#130,07,기타,7,카타르,197,162,07#130,53,201803,2018,3,정기-환승여객-출발
,,,,,,,,,,전체 합계,0,,273810,46526,총계,19451,201804,2018,4,정기-환승여객-출발
,,,,,,,,01#115,01,일본,1,일본,41701,7485,01#115,4873,201804,2018,4,정기-환승여객-출발
,,,,,,,,02#141,02,중국,2,중국,29043,9171,02#141,4535,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#125,03,아시아,3,네팔,665,73,03#125,13,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#107,03,아시아,3,대만,2052,2395,03#107,812,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#120,03,아시아,3,라오스,855,207,03#120,125,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#122,03,아시아,3,마카오,107,251,03#122,182,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#123,03,아시아,3,말레이시아,968,1083,03#123,359,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#124,03,아시아,3,몰디브공화국,67,15,03#124,12,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#143,03,아시아,3,몽골,2301,264,03#143,69,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#106,03,아시아,3,미얀마,834,107,03#106,30,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#137,03,아시아,3,베트남,13491,3655,03#137,1624,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#105,03,아시아,3,브루나이,13,12,03#105,9,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#133,03,아시아,3,스리랑카,103,38,,,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#132,03,아시아,3,싱가포르,2051,1006,03#132,276,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#110,03,아시아,3,인도,1792,156,03#110,72,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#111,03,아시아,3,인도네시아,3501,626,03#111,155,201804,2018,4,정기-환승여객-출발
